Year,Crop,Region,Season,Area,Annual_Rainfall,Average_Temperature,Fertilizer_Used,Pesticide_Used,Humidity,Production,Yield_Per_Ha
2010,Rice,Maharashtra,Whole Year,68.29,2116.8,41.1,383.7,16.84,46.2,85389.74,1250.4
2005,Maize,Andhra Pradesh,Kharif,128.9,2139.1,21.9,359.0,7.98,57.2,456116.96,3538.53
2005,Maize,Karnataka,Rabi,486.78,2125.1,40.3,95.2,12.12,40.5,1654507.73,3398.88
2012,Wheat,Rajasthan,Zaid,190.68,647.3,23.1,64.4,10.55,50.8,664302.02,3483.86
2009,Barley,Gujarat,Whole Year,283.43,356.0,37.4,288.1,9.76,80.6,260409.37,918.78
2020,Millet,Rajasthan,Whole Year,352.44,2463.0,32.9,67.2,6.12,44.0,414486.93,1176.05
2015,Sugarcane,Maharashtra,Kharif,371.37,2411.2,38.3,71.1,14.33,91.6,35306701.62,95071.5
2009,Potato,Maharashtra,Kharif,344.33,1541.6,41.4,105.7,10.72,62.0,8120384.14,23583.14
2008,Cotton,Bihar,Kharif,169.13,2484.7,38.5,173.1,2.03,36.9,134545.47,795.52
2010,Maize,West Bengal,Kharif,56.75,1995.2,25.9,202.2,0.51,91.3,248536.03,4379.49
2018,Sunflower,Gujarat,Whole Year,141.58,1438.2,37.0,231.8,0.9,59.7,241393.63,1705.0
2023,Millet,Maharashtra,Kharif,105.94,1156.5,34.2,397.3,1.98,66.2,58279.1,550.11
2013,Sugarcane,Haryana,Whole Year,69.0,1604.3,16.7,184.8,7.73,42.0,6269226.28,90858.35
2016,Cotton,Haryana,Kharif,13.22,1434.8,40.1,135.0,6.46,51.7,8277.96,626.17
2015,Rice,Punjab,Zaid,467.93,2486.4,27.6,251.3,3.55,75.7,2032872.42,4344.39
2018,Sunflower,Karnataka,Zaid,460.6,1379.0,18.6,125.3,10.55,38.1,680255.71,1476.89
2020,Potato,Andhra Pradesh,Kharif,26.16,2139.0,26.5,379.2,19.42,67.1,313259.33,11974.75
2005,Wheat,Rajasthan,Kharif,87.37,2090.0,31.3,140.7,3.63,75.1,501104.95,5735.43
2017,Potato,Karnataka,Rabi,70.61,457.1,30.5,396.5,5.39,30.1,92926.9,1316.06
2017,Millet,Andhra Pradesh,Zaid,141.33,491.4,30.5,196.5,9.51,84.4,102563.42,725.7
2006,Wheat,Andhra Pradesh,Whole Year,102.83,1751.6,21.9,334.4,13.0,33.7,235833.32,2293.43
2008,Cotton,Uttar Pradesh,Zaid,472.98,870.0,32.1,276.9,12.2,46.0,189986.93,401.68
2010,Sorghum,Bihar,Whole Year,43.0,1746.6,39.5,376.7,10.66,92.6,14689.52,341.62
2009,Maize,Maharashtra,Kharif,106.62,618.2,25.5,268.9,14.88,35.3,229384.82,2151.42
2007,Soybean,Punjab,Zaid,41.28,1173.6,32.0,253.4,17.0,83.7,37937.87,919.04
2005,Sugarcane,Maharashtra,Zaid,490.21,525.4,21.6,278.5,19.98,72.4,22677061.15,46259.89
2008,Sunflower,Punjab,Rabi,459.29,920.6,16.3,325.3,9.58,68.9,274391.25,597.42
2006,Barley,Karnataka,Rabi,358.6,494.3,30.8,364.6,19.9,67.8,5079.6,14.17
2009,Groundnut,Madhya Pradesh,Zaid,213.56,2435.3,16.3,143.4,14.74,40.8,491262.44,2300.35
2007,Maize,Madhya Pradesh,Zaid,95.9,1169.1,34.5,120.3,13.32,73.5,295940.17,3085.92
2013,Soybean,West Bengal,Zaid,111.52,2282.6,33.1,62.0,12.97,91.9,186159.54,1669.29
2010,Potato,West Bengal,Whole Year,222.08,2436.6,25.0,179.5,18.26,35.0,6098912.92,27462.68
2022,Groundnut,Karnataka,Kharif,384.34,2301.0,26.1,346.2,18.98,51.6,415758.95,1081.75
2010,Millet,Gujarat,Rabi,133.1,1300.9,39.8,74.5,3.98,60.7,166681.9,1252.31
2023,Sunflower,Haryana,Kharif,156.09,2013.6,15.4,238.5,10.12,45.1,222562.92,1425.86
2016,Groundnut,Bihar,Rabi,300.37,638.1,30.2,293.2,18.86,78.2,272217.79,906.27
2015,Rice,Andhra Pradesh,Rabi,119.63,508.6,39.9,342.9,7.95,74.8,129444.04,1082.04
2006,Maize,Punjab,Rabi,292.53,2229.2,39.7,254.2,5.04,37.7,1085673.57,3711.32
2019,Wheat,Tamil Nadu,Zaid,194.18,368.5,30.8,115.2,2.5,67.0,604318.86,3112.16
2016,Sorghum,Madhya Pradesh,Rabi,18.15,2439.1,25.3,387.6,12.15,54.0,11886.54,654.91
2016,Barley,Maharashtra,Kharif,201.95,1778.7,17.7,83.1,14.16,44.8,538048.28,2664.26
2013,Wheat,Karnataka,Rabi,459.84,1223.1,19.7,319.1,4.31,85.1,1306060.28,2840.25
2006,Soybean,Andhra Pradesh,Kharif,147.26,611.0,33.4,80.3,13.64,33.6,151577.99,1029.32
2007,Maize,Madhya Pradesh,Rabi,162.09,1891.1,15.4,100.2,18.04,60.4,637582.23,3933.51
2016,Sorghum,Punjab,Rabi,33.9,1538.8,38.9,364.4,5.25,60.9,29585.78,872.74
2020,Groundnut,Rajasthan,Zaid,307.91,1864.5,30.9,313.6,2.88,67.1,381975.12,1240.54
2005,Maize,Gujarat,Kharif,424.77,1219.4,16.2,177.9,16.79,42.8,1453014.29,3420.71
2007,Groundnut,Maharashtra,Rabi,177.11,445.8,21.5,273.6,18.37,86.6,96587.34,545.35
2006,Millet,West Bengal,Rabi,120.88,992.9,31.0,210.0,4.69,92.7,104807.71,867.04
2013,Rice,Karnataka,Kharif,478.35,993.0,16.0,73.3,14.57,65.7,1233957.7,2579.61
2023,Cotton,Madhya Pradesh,Rabi,372.79,319.1,36.1,302.4,12.02,46.6,22744.38,61.01
2019,Maize,West Bengal,Whole Year,284.01,321.1,39.8,317.1,5.16,87.0,294935.13,1038.47
2022,Soybean,Punjab,Zaid,153.46,1027.7,41.0,358.8,16.56,94.2,50238.33,327.37
2015,Groundnut,West Bengal,Kharif,111.18,1900.8,34.8,239.2,9.67,78.2,167093.55,1502.91
2020,Wheat,Madhya Pradesh,Zaid,358.16,1672.9,38.1,285.6,14.16,51.7,702349.26,1960.99
2021,Millet,Madhya Pradesh,Whole Year,261.37,825.8,31.5,203.3,6.38,45.3,277406.53,1061.36
2009,Soybean,Maharashtra,Whole Year,260.78,1626.1,27.4,161.6,16.41,40.2,381046.55,1461.18
2016,Barley,Haryana,Whole Year,37.78,1724.2,34.3,194.1,5.65,45.3,122546.67,3243.69
2015,Cotton,Madhya Pradesh,Kharif,256.59,1449.7,21.1,369.1,7.61,44.8,116614.78,454.48
2019,Millet,Andhra Pradesh,Whole Year,411.55,1447.0,18.0,107.5,8.13,92.9,468487.71,1138.35
2007,Rice,Haryana,Kharif,473.45,1113.4,35.6,137.0,4.53,71.8,1359604.3,2871.7
2005,Cotton,Karnataka,Kharif,54.23,571.5,40.9,262.2,17.55,40.9,11095.69,204.6
2020,Sunflower,Haryana,Rabi,315.95,1148.1,30.6,90.7,2.71,61.7,491343.94,1555.13
2006,Groundnut,Uttar Pradesh,Kharif,284.61,1059.7,28.0,362.2,11.48,42.0,245567.94,862.82
2006,Sunflower,Madhya Pradesh,Whole Year,445.27,1602.3,29.4,66.5,16.38,69.4,606217.72,1361.46
2007,Soybean,Andhra Pradesh,Kharif,375.87,2183.8,27.9,314.4,11.83,52.2,516622.23,1374.47
2012,Barley,Punjab,Kharif,482.67,1125.8,26.9,180.8,6.87,42.7,1272697.3,2636.79
2019,Potato,Andhra Pradesh,Zaid,480.06,1861.4,40.6,67.9,15.74,45.8,11324239.53,23589.22
2011,Sugarcane,Uttar Pradesh,Whole Year,113.62,2086.0,28.0,345.0,10.23,73.9,6583918.1,57946.82
2010,Potato,Tamil Nadu,Kharif,362.95,765.9,17.2,274.2,3.68,56.5,5407000.36,14897.37
2013,Rice,Haryana,Rabi,265.73,2283.6,35.7,53.1,6.68,63.4,923029.57,3473.56
2005,Sunflower,Andhra Pradesh,Kharif,108.09,455.0,25.6,143.6,12.04,83.4,108851.72,1007.05
2012,Sorghum,West Bengal,Kharif,98.24,2283.8,34.2,173.2,13.35,72.6,145700.1,1483.1
2007,Groundnut,Punjab,Zaid,41.46,660.0,30.6,162.9,11.19,60.1,61187.32,1475.82
2008,Sugarcane,Madhya Pradesh,Whole Year,397.98,1041.8,34.3,224.4,5.8,92.0,27464089.03,69008.72
2019,Maize,Madhya Pradesh,Whole Year,162.93,1631.5,16.7,234.4,12.08,43.9,476903.19,2927.04
2010,Potato,Rajasthan,Rabi,428.63,2292.5,15.9,188.9,6.98,48.8,10337943.5,24118.57
2019,Barley,Karnataka,Rabi,304.55,862.5,25.2,166.1,4.89,89.2,760823.13,2498.19
2007,Potato,Karnataka,Rabi,337.14,1979.9,33.7,226.5,18.94,85.5,7970961.96,23642.88
2018,Wheat,Bihar,Kharif,146.55,1863.0,21.0,61.8,6.64,38.5,570755.3,3894.61
2018,Sorghum,Karnataka,Kharif,229.19,651.4,26.7,275.8,7.04,90.4,136145.47,594.03
2008,Soybean,Andhra Pradesh,Rabi,206.75,1354.8,41.5,262.1,17.99,30.7,132686.37,641.77
2016,Barley,Haryana,Whole Year,118.61,1359.3,20.8,147.7,3.28,83.5,340138.2,2867.7
2021,Cotton,Andhra Pradesh,Whole Year,416.42,970.1,37.9,112.8,11.9,48.1,210906.69,506.48
2011,Millet,Madhya Pradesh,Rabi,311.42,2015.8,37.3,75.5,15.78,42.3,322616.63,1035.95
2013,Cotton,Maharashtra,Zaid,19.68,2337.1,39.1,255.6,5.84,59.2,13844.22,703.47
2007,Sunflower,West Bengal,Whole Year,410.14,1876.5,39.7,249.1,16.96,88.3,414064.53,1009.57
2017,Cotton,Madhya Pradesh,Whole Year,53.91,2440.5,28.7,236.7,15.51,81.1,37937.87,703.73
2019,Maize,Rajasthan,Rabi,202.44,411.0,33.4,395.0,9.98,92.9,62176.11,307.13
2022,Sunflower,Rajasthan,Whole Year,286.06,381.9,31.7,236.0,2.81,65.2,341946.12,1195.37
2023,Rice,West Bengal,Kharif,4.82,2266.5,23.3,302.6,19.42,63.2,12266.45,2544.91
2005,Wheat,Uttar Pradesh,Kharif,326.8,2275.2,22.6,89.5,12.67,30.8,1179432.29,3609.03
2010,Sorghum,Gujarat,Whole Year,330.19,535.7,24.2,154.6,10.58,41.7,339249.2,1027.44
2006,Rice,Madhya Pradesh,Kharif,326.61,1086.4,20.9,146.4,17.77,62.3,1106883.85,3389.01
2018,Barley,Madhya Pradesh,Zaid,82.57,2137.9,35.4,251.6,8.72,78.9,279875.3,3389.55
2010,Cotton,Maharashtra,Whole Year,128.61,582.8,41.0,165.8,11.49,83.5,53954.66,419.52
2018,Maize,Punjab,Rabi,124.44,888.3,38.4,274.4,17.24,48.4,234551.31,1884.85
2008,Potato,Rajasthan,Kharif,480.07,1798.2,20.9,291.5,8.16,76.3,8659014.77,18036.98
2012,Potato,Karnataka,Zaid,34.7,2460.2,16.4,61.8,15.56,83.9,856786.86,24691.26
2007,Sunflower,Andhra Pradesh,Zaid,214.95,2053.7,35.4,273.9,5.49,54.4,277001.84,1288.68
2023,Barley,Uttar Pradesh,Kharif,435.76,2010.1,25.5,90.9,14.2,75.2,1284686.69,2948.15
2018,Millet,Madhya Pradesh,Zaid,384.96,1053.9,37.3,212.8,10.45,58.4,301561.41,783.36
2021,Wheat,Gujarat,Whole Year,411.4,1755.0,36.0,304.3,3.72,94.1,1381147.41,3357.19
2012,Sorghum,West Bengal,Zaid,486.17,548.8,31.9,296.2,3.15,30.4,406659.46,836.46
2018,Millet,Tamil Nadu,Kharif,194.24,2483.0,21.9,154.9,9.42,56.9,271682.6,1398.7
2010,Sunflower,Punjab,Zaid,155.52,1357.3,17.8,145.3,14.36,47.1,205888.7,1323.87
2020,Maize,Gujarat,Kharif,16.3,1705.4,21.8,204.1,12.26,85.2,63680.92,3906.8
2023,Wheat,Bihar,Kharif,75.86,2227.6,28.8,116.0,17.17,48.7,350165.42,4615.94
2018,Barley,Karnataka,Zaid,281.45,302.1,41.4,391.1,8.1,65.3,7173.91,25.49
2023,Cotton,Gujarat,Kharif,79.67,2447.2,16.7,170.7,16.95,78.1,42033.57,527.6
2007,Cotton,Rajasthan,Kharif,368.42,1090.2,20.4,373.0,1.22,62.3,78875.5,214.09
2014,Groundnut,Bihar,Rabi,19.58,1047.1,31.9,367.9,7.63,56.7,16540.86,844.78
2023,Cotton,Madhya Pradesh,Whole Year,130.48,619.1,23.2,177.7,1.92,32.8,77900.1,597.03
2013,Sugarcane,Bihar,Kharif,348.03,2188.0,38.2,138.9,18.43,31.5,37692037.89,108301.12
2017,Cotton,Andhra Pradesh,Whole Year,128.5,2215.8,18.8,319.8,9.77,92.2,50619.67,393.93
2011,Sugarcane,West Bengal,Rabi,364.65,344.0,41.0,130.3,6.67,71.8,26403565.97,72407.97
2018,Soybean,Gujarat,Rabi,497.94,422.6,39.6,232.4,10.1,83.6,418854.57,841.17
2013,Sugarcane,Punjab,Rabi,398.74,2320.4,39.0,88.7,10.89,61.2,36738103.01,92135.48
2023,Wheat,Gujarat,Rabi,171.58,570.3,19.7,185.1,17.0,47.0,551410.14,3213.72
2019,Millet,Madhya Pradesh,Whole Year,450.4,1666.0,23.9,77.4,11.08,49.1,431668.44,958.41
2018,Wheat,Tamil Nadu,Zaid,26.54,1663.2,36.7,149.2,8.91,32.8,105938.54,3991.66
2010,Millet,Uttar Pradesh,Zaid,362.78,2213.4,36.8,282.9,19.25,81.4,323279.62,891.12
2008,Groundnut,Rajasthan,Whole Year,12.64,1559.8,34.0,397.0,19.39,67.8,1566.82,123.96
2012,Soybean,Andhra Pradesh,Kharif,88.1,1254.8,27.1,139.2,1.25,61.3,120501.35,1367.78
2021,Millet,Karnataka,Whole Year,493.81,2443.6,23.4,215.7,14.28,85.4,588655.7,1192.07
2013,Millet,West Bengal,Kharif,181.08,803.4,41.0,206.8,7.75,58.9,156865.13,866.28
2005,Maize,West Bengal,Kharif,410.43,878.0,18.8,114.5,13.67,91.6,1091670.74,2659.82
2018,Rice,Bihar,Zaid,188.67,486.5,16.2,263.5,12.92,30.9,186622.67,989.15
2015,Rice,Bihar,Rabi,420.17,2445.7,15.2,303.6,6.94,94.0,1280890.12,3048.5
2007,Maize,Uttar Pradesh,Zaid,482.75,1854.0,35.9,101.5,19.74,83.0,1498004.13,3103.06
2013,Cotton,Haryana,Zaid,218.33,326.6,16.5,315.0,7.46,53.1,24264.44,111.14
2018,Maize,Haryana,Whole Year,280.12,1849.5,29.5,295.1,12.82,68.7,831201.99,2967.31
2013,Potato,Karnataka,Whole Year,314.69,1189.1,24.9,119.1,16.36,86.2,6405274.22,20354.24
2008,Millet,Gujarat,Kharif,467.48,2428.6,19.0,277.1,3.34,61.3,553477.45,1183.96
2008,Millet,Bihar,Whole Year,129.12,910.3,35.0,187.8,6.36,33.3,146042.56,1131.06
2012,Maize,Tamil Nadu,Kharif,306.01,1862.6,16.5,288.4,4.38,88.7,965182.84,3154.09
2006,Maize,West Bengal,Kharif,163.04,1680.4,23.6,223.6,15.75,63.6,518101.86,3177.76
2013,Potato,Gujarat,Rabi,109.25,326.5,30.2,66.8,16.12,65.4,1814571.03,16609.35
2018,Cotton,West Bengal,Rabi,43.38,2247.5,25.9,325.4,5.49,30.9,24554.2,566.03
2013,Wheat,Bihar,Zaid,310.73,607.1,22.0,244.5,0.58,36.5,798823.45,2570.8
2020,Soybean,West Bengal,Rabi,441.16,1759.9,40.0,303.7,8.76,80.5,494587.87,1121.11
2021,Barley,Gujarat,Kharif,176.35,2006.2,40.1,94.1,13.9,58.3,460806.62,2613.02
2020,Millet,Bihar,Whole Year,276.78,1688.0,26.2,302.4,12.64,94.9,191484.29,691.83
2016,Soybean,Madhya Pradesh,Rabi,321.42,513.7,25.6,194.8,9.19,75.2,333322.58,1037.03
2007,Maize,Uttar Pradesh,Rabi,207.91,2445.4,23.3,329.7,6.39,91.7,715721.56,3442.46
2015,Potato,Madhya Pradesh,Rabi,451.77,821.0,38.1,259.7,9.75,48.2,5854130.13,12958.21
2018,Cotton,Haryana,Rabi,182.01,1681.3,30.3,174.2,0.79,41.4,139944.83,768.89
2022,Sugarcane,Maharashtra,Kharif,63.38,2053.8,17.4,120.7,1.94,54.5,7414252.75,116980.95
2009,Cotton,Punjab,Kharif,72.87,2366.3,38.0,335.6,3.67,47.2,38651.86,530.42
2020,Sorghum,Uttar Pradesh,Zaid,445.54,1628.8,29.4,246.1,12.7,69.9,385806.32,865.93
2009,Sorghum,Madhya Pradesh,Whole Year,494.02,869.9,26.2,395.6,4.77,78.4,142822.09,289.1
2007,Soybean,Rajasthan,Zaid,145.18,2140.6,24.1,180.7,8.76,56.1,257834.93,1775.97
2016,Rice,Tamil Nadu,Zaid,72.66,659.1,17.7,290.0,12.62,35.8,75151.2,1034.29
2005,Sorghum,Tamil Nadu,Rabi,241.62,349.0,40.8,268.0,16.7,31.7,115357.02,477.43
2013,Sorghum,Punjab,Whole Year,355.05,2297.9,35.0,273.2,11.22,44.2,490081.37,1380.32
2013,Wheat,Tamil Nadu,Rabi,306.59,1565.9,18.6,307.9,3.95,77.6,984437.13,3210.92
2008,Sugarcane,Gujarat,Kharif,475.6,453.2,28.8,98.7,19.06,44.4,21021583.29,44200.13
2007,Potato,Tamil Nadu,Zaid,409.07,1575.4,30.0,242.4,2.26,89.2,13407479.36,32775.51
2021,Wheat,Maharashtra,Whole Year,434.62,619.0,19.5,228.2,7.66,72.4,1088373.33,2504.2
2006,Sugarcane,Tamil Nadu,Kharif,271.29,369.0,26.5,169.9,18.47,86.0,15482172.72,57068.72
2005,Potato,West Bengal,Zaid,164.31,556.4,32.4,202.7,12.25,55.1,2433231.88,14808.79
2012,Groundnut,Uttar Pradesh,Whole Year,351.17,2005.2,22.7,231.6,13.42,93.9,668204.78,1902.8
2017,Barley,Gujarat,Zaid,220.09,1962.5,24.0,162.3,6.38,74.2,832520.33,3782.64
2019,Millet,Haryana,Whole Year,144.59,1629.5,18.3,152.6,2.03,53.2,149555.89,1034.34
2012,Sorghum,Tamil Nadu,Zaid,76.98,760.5,26.2,308.4,7.63,43.8,50717.13,658.84
2016,Potato,Karnataka,Rabi,264.41,1925.7,30.8,73.4,8.34,86.3,7777363.92,29414.03
2016,Millet,Karnataka,Zaid,297.53,1197.7,18.1,159.5,5.77,50.7,233395.5,784.44
2018,Sorghum,Karnataka,Zaid,284.82,1423.7,31.6,278.8,4.7,32.9,333503.64,1170.93
2019,Wheat,Tamil Nadu,Whole Year,59.16,2274.8,25.7,123.1,7.43,48.1,268502.76,4538.59
2019,Barley,Rajasthan,Whole Year,285.42,1307.3,33.3,250.3,12.97,41.7,584766.15,2048.79
2013,Wheat,Madhya Pradesh,Rabi,85.04,1678.0,23.5,155.8,19.01,50.8,258077.96,3034.78
2023,Potato,West Bengal,Whole Year,332.19,2415.9,30.3,345.2,14.22,69.9,4750495.09,14300.54
2012,Sunflower,Andhra Pradesh,Zaid,215.26,1293.1,31.5,172.5,15.7,62.5,249680.43,1159.9
2023,Wheat,Tamil Nadu,Whole Year,424.55,1533.6,33.6,130.3,6.47,76.2,1998540.4,4707.43
2010,Sugarcane,Rajasthan,Whole Year,389.35,1585.7,35.4,235.5,2.54,51.7,29814561.44,76575.22
2023,Rice,Madhya Pradesh,Whole Year,362.47,829.6,18.7,97.5,6.18,37.8,1177466.32,3248.45
2008,Cotton,Andhra Pradesh,Rabi,350.67,1921.2,41.1,329.1,8.35,40.4,178847.56,510.02
2011,Soybean,Punjab,Rabi,280.68,1898.6,37.8,288.0,13.95,81.8,355570.53,1266.82
2008,Millet,Maharashtra,Kharif,31.5,769.8,30.2,319.7,18.82,36.4,9933.03,315.33
2016,Groundnut,West Bengal,Rabi,328.09,329.3,39.0,189.6,16.28,81.9,338787.29,1032.6
2017,Sorghum,Tamil Nadu,Rabi,233.99,2497.7,25.3,342.3,5.69,43.8,321689.4,1374.8
2007,Wheat,Uttar Pradesh,Rabi,235.31,1579.5,15.9,222.7,16.5,74.1,808111.94,3434.24
2016,Rice,Gujarat,Zaid,190.13,698.3,34.6,83.1,8.53,70.5,495852.11,2607.96
2006,Wheat,Uttar Pradesh,Kharif,464.61,923.8,40.5,128.4,3.92,36.4,1337769.28,2879.34
2006,Barley,Madhya Pradesh,Zaid,125.48,1659.1,19.4,298.9,9.49,73.3,340033.41,2709.86
2013,Sugarcane,Uttar Pradesh,Rabi,158.98,602.8,32.4,363.7,11.48,59.1,3333014.56,20964.99
2005,Groundnut,Bihar,Rabi,481.56,382.0,37.0,83.3,15.39,76.0,507117.38,1053.07
2012,Cotton,Punjab,Kharif,405.27,2056.7,39.4,352.5,7.32,84.3,175921.01,434.08
2010,Potato,Gujarat,Kharif,8.03,1874.9,22.5,329.7,3.36,32.6,116710.81,14534.35
2010,Barley,Punjab,Whole Year,453.15,981.1,18.5,174.8,2.34,72.1,1326601.53,2927.51
2022,Maize,Andhra Pradesh,Rabi,114.1,428.7,21.7,291.2,2.69,36.8,277167.62,2429.16
2021,Groundnut,Punjab,Rabi,353.26,1369.8,30.6,115.4,19.03,54.6,595911.89,1686.89
2016,Wheat,Karnataka,Zaid,276.98,907.6,39.8,334.7,19.06,30.8,359924.36,1299.46
2010,Barley,Maharashtra,Whole Year,268.87,1175.1,30.7,280.1,19.39,51.4,429189.37,1596.27
2012,Cotton,Karnataka,Rabi,359.24,902.7,39.8,203.6,6.4,41.0,193502.84,538.65
2023,Rice,Tamil Nadu,Zaid,104.38,685.6,35.8,352.6,4.24,66.2,150580.02,1442.61
2014,Rice,Andhra Pradesh,Kharif,80.35,1151.4,31.2,98.7,19.63,63.3,230461.74,2868.22
2005,Millet,Bihar,Zaid,326.3,2422.8,15.6,346.0,19.77,81.6,178318.68,546.49
2017,Cotton,Rajasthan,Rabi,146.0,885.7,24.0,58.4,2.03,71.6,99556.61,681.89
2021,Rice,Andhra Pradesh,Zaid,487.0,1039.1,16.6,313.6,15.17,76.5,607517.71,1247.47
2007,Barley,Rajasthan,Zaid,226.3,1024.3,23.7,250.7,6.13,36.0,543407.94,2401.27
2012,Millet,Maharashtra,Whole Year,56.69,1356.6,16.7,293.9,18.23,31.8,30868.04,544.51
2018,Sunflower,Punjab,Whole Year,343.22,2155.7,19.5,194.3,2.24,93.0,537169.99,1565.09
2007,Rice,Punjab,Kharif,153.77,1184.7,26.1,352.6,17.83,57.8,205405.07,1335.79
2020,Groundnut,Gujarat,Whole Year,75.15,2073.5,28.9,159.6,0.55,55.7,154418.6,2054.81
2017,Sugarcane,Tamil Nadu,Zaid,211.99,553.0,20.9,146.2,10.68,32.3,12250248.32,57786.92
2021,Maize,Uttar Pradesh,Whole Year,482.15,2268.8,34.8,155.6,7.04,37.7,2184068.61,4529.85
2017,Cotton,Haryana,Rabi,206.3,707.7,30.9,321.0,8.83,91.1,50380.72,244.21
2010,Barley,Andhra Pradesh,Zaid,174.32,386.2,33.7,223.4,8.96,75.2,336323.7,1929.35
2021,Sorghum,Andhra Pradesh,Zaid,222.81,648.4,34.8,238.0,13.25,56.6,241860.64,1085.5
2018,Wheat,Tamil Nadu,Zaid,7.05,719.6,34.6,341.1,0.95,88.8,6481.27,919.33
2021,Barley,Karnataka,Rabi,67.42,1418.7,40.3,341.7,13.98,68.3,81938.46,1215.34
2012,Rice,West Bengal,Zaid,424.99,1289.9,21.4,106.6,0.93,78.5,1815876.91,4272.75
2015,Barley,Tamil Nadu,Whole Year,489.04,1874.9,22.3,242.4,4.11,58.1,1493281.24,3053.5
2005,Sorghum,Haryana,Rabi,79.81,412.1,17.5,94.1,12.33,58.0,72043.28,902.68
2011,Wheat,Punjab,Zaid,268.22,1395.0,31.0,354.0,2.19,34.4,570814.4,2128.16
2021,Millet,Rajasthan,Whole Year,483.2,1031.4,25.7,343.0,19.82,77.7,114603.46,237.18
2014,Rice,Karnataka,Whole Year,79.13,1687.6,28.4,347.3,15.8,36.4,66174.26,836.27
2015,Soybean,Bihar,Kharif,93.97,396.1,19.6,296.7,14.26,79.7,47510.52,505.59
2013,Rice,Madhya Pradesh,Whole Year,463.48,376.9,32.5,213.4,5.72,42.4,1047411.61,2259.89
2013,Maize,Karnataka,Whole Year,353.14,1240.0,31.7,191.7,1.45,46.1,1299928.05,3681.06
2009,Sunflower,Bihar,Kharif,76.83,2084.9,22.1,188.3,19.59,89.7,115454.59,1502.73
2021,Soybean,Gujarat,Kharif,197.35,1776.4,27.6,73.2,3.38,60.7,393915.72,1996.03
2013,Maize,Maharashtra,Rabi,29.08,336.8,39.1,382.1,16.7,38.1,2989.8,102.81
2021,Sorghum,Haryana,Whole Year,216.9,692.6,35.9,207.6,4.35,88.8,226709.27,1045.22
2023,Cotton,Karnataka,Rabi,389.17,798.8,21.1,375.5,7.79,59.4,73375.17,188.54
2011,Wheat,Haryana,Rabi,277.43,1230.7,38.7,357.7,14.02,38.5,228395.55,823.25
2013,Sugarcane,Bihar,Zaid,324.07,1590.8,16.8,340.0,18.93,55.4,15453661.82,47686.18
2011,Millet,Tamil Nadu,Rabi,164.08,776.2,26.2,255.9,0.89,68.3,135969.66,828.68
2017,Sugarcane,Madhya Pradesh,Rabi,81.54,1141.5,17.2,85.5,5.58,53.6,7365843.87,90334.12
2015,Groundnut,Rajasthan,Rabi,7.55,1584.7,40.0,163.4,15.42,90.1,16585.63,2196.77
2018,Groundnut,Rajasthan,Rabi,410.83,1143.6,16.1,261.3,3.88,47.5,710592.84,1729.65
2023,Sorghum,Madhya Pradesh,Kharif,318.69,615.0,19.1,54.7,2.67,41.4,357206.7,1120.86
2015,Cotton,Andhra Pradesh,Whole Year,115.43,1381.7,39.7,64.9,1.4,44.4,63409.92,549.34
2017,Sunflower,Punjab,Zaid,209.8,1012.8,30.7,287.2,10.3,35.4,220843.17,1052.64
2018,Sunflower,Andhra Pradesh,Kharif,400.92,2201.2,36.5,360.9,15.47,59.4,95623.96,238.51
2017,Groundnut,Karnataka,Zaid,269.81,2006.4,15.4,349.3,19.25,87.1,216992.72,804.24
2005,Rice,Maharashtra,Zaid,150.78,718.6,26.3,108.9,5.72,49.8,341254.41,2263.26
2012,Barley,Bihar,Kharif,134.33,635.8,41.6,368.9,2.87,46.8,80125.7,596.48
2016,Maize,Andhra Pradesh,Rabi,109.59,1064.9,30.7,293.7,8.35,84.4,228674.21,2086.63
2023,Groundnut,Andhra Pradesh,Kharif,412.04,1206.8,37.9,300.7,1.58,49.9,569183.35,1381.38
2016,Sorghum,Andhra Pradesh,Zaid,291.35,2350.4,41.0,156.4,6.96,61.0,420416.01,1442.99
2012,Potato,Haryana,Zaid,354.87,963.6,33.5,300.6,13.04,32.0,5556619.29,15658.18
2012,Maize,Tamil Nadu,Rabi,430.2,2208.7,23.8,298.4,3.78,48.7,1659197.63,3856.81
2017,Rice,Maharashtra,Kharif,493.44,1411.7,23.3,258.1,12.82,38.5,1389119.63,2815.17
2016,Cotton,Bihar,Whole Year,125.49,2248.4,16.9,175.1,19.45,36.9,65031.76,518.22
2020,Wheat,Rajasthan,Zaid,91.27,1844.3,26.5,333.9,17.35,58.0,198353.97,2173.27
2005,Sunflower,Gujarat,Kharif,231.54,1858.5,39.7,378.1,7.46,48.0,173693.9,750.17
2017,Sugarcane,Haryana,Rabi,18.5,1441.4,27.9,354.5,8.72,40.8,899210.58,48605.98
2011,Rice,Karnataka,Rabi,396.07,2148.7,39.6,135.0,8.68,63.2,1311778.28,3311.99
2009,Millet,Maharashtra,Whole Year,442.0,859.7,37.1,206.0,17.27,81.0,235448.29,532.69
2012,Soybean,Rajasthan,Zaid,343.33,2296.2,41.6,169.8,19.88,77.8,599093.25,1744.95
2018,Sorghum,Maharashtra,Whole Year,134.73,1700.9,40.6,297.6,16.6,46.3,108112.85,802.44
